"Genes","tissue","expression"
"PEG10","e17.5 Placenta (ref)",-6.7
"SGCE","e17.5 Placenta (ref)",-2.6
"PEG1","e17.5 Placenta (ref)",14.9535
"MCTS2","e17.5 Placenta (ref)",-12
"H13","e17.5 Placenta (ref)",0.39
"SNRPN","e17.5 Placenta (ref)",-12
"ZRSR1","e17.5 Placenta (ref)",-12
"MEG3","e17.5 Placenta (ref)",-12
"RIAN","e17.5 Placenta (ref)",7.8
"PEG3","e17.5 Placenta (ref)",-12
"PLAGL1","e17.5 Placenta (ref)",-10
"1110014L15RIK-new","e17.5 Placenta (ref)",-12
"ASB4","e17.5 Placenta (ref)",1.76
"ZIM1","e17.5 Placenta (ref)",-12
"KLHDC10","e17.5 Placenta (ref)",-12
"DLK1","e17.5 Placenta (ref)",-9.7
"GNAS","e17.5 Placenta (ref)",8.57
"PPP1R9A","e17.5 Placenta (ref)",5.29
"PDE4D","e17.5 Placenta (ref)",1.54
"A19","e17.5 Placenta (ref)",-12
"ZFP264","e17.5 Placenta (ref)",-12
"KCNQ1OT1","e17.5 Placenta (ref)",-10
"AK050713","e17.5 Placenta (ref)",-12
"RTL1","e17.5 Placenta (ref)",-3.1
"CDKN1C","e17.5 Placenta (ref)",-12
"PEG12","e17.5 Placenta (ref)",-12
"KCNQ1","e17.5 Placenta (ref)",-9.4
"NESPAS","e17.5 Placenta (ref)",-4.6
"SLC38A4","e17.5 Placenta (ref)",-10
"H19","e17.5 Placenta (ref)",-12
"IGF2","e17.5 Placenta (ref)",-12
"INS1","e17.5 Placenta (ref)",-12
"TFPI2","e17.5 Placenta (ref)",-12
"AK043599","e17.5 Placenta (ref)",-12
"EDN3-new","e17.5 Placenta (ref)",-12
"TMEM106A-new","e17.5 Placenta (ref)",13.3883
"DDC","e17.5 Placenta (ref)",-12
"RDM1","e17.5 Placenta (ref)",13.3116
"TNK1-new","e17.5 Placenta (ref)",-12
"TREM1-new","e17.5 Placenta (ref)",-12
"2400006E01RIK-new","e17.5 Placenta (ref)",-12
"IGF2AS","e17.5 Placenta (ref)",-12
"UC008IHS.1-new","e17.5 Placenta (ref)",-12
"5133400J02RIK-new","e17.5 Placenta (ref)",0.39
"PHLDA2","e17.5 Placenta (ref)",-12
"AF357359","e17.5 Placenta (ref)",-12
"GAB1","e17.5 Placenta (ref)",-4
"SFMBT2","e17.5 Placenta (ref)",-10
"CD81","e17.5 Placenta (ref)",-12
"PHF17","e17.5 Placenta (ref)",-5.9
"TSSC4","e17.5 Placenta (ref)",-12
"DACT2-new","e17.5 Placenta (ref)",-12
"SLC22A2","e17.5 Placenta (ref)",-12
"TSSC5","e17.5 Placenta (ref)",1.97
"SLC22A3","e17.5 Placenta (ref)",6.92
"KLF14","e17.5 Placenta (ref)",4.01
"ATP10A","e17.5 Placenta (ref)",-12
"DCN","e17.5 Placenta (ref)",-12
"PON2","e17.5 Placenta (ref)",0.38
"PON3","e17.5 Placenta (ref)",-12
"AMPD3","e17.5 Placenta (ref)",-0.5
"GABRB3","e17.5 Placenta (ref)",-12
"GATM","e17.5 Placenta (ref)",-12
"TBC1D12","e17.5 Placenta (ref)",-12
"DIO3","e17.5 Placenta (ref)",-12
"NAP1L4","e17.5 Placenta (ref)",15.18
"MSUIT","e17.5 Placenta (ref)",-12
"ASCL2","e17.5 Placenta (ref)",14.1592
"OSBPL5","e17.5 Placenta (ref)",13.1799
"TNFRSF23","e17.5 Placenta (ref)",-12
"AIRN","e17.5 Placenta (ref)",-10
"HTR2A","e17.5 Placenta (ref)",-12
"MAPT","e17.5 Placenta (ref)",11.523
"MKRN1-PS1","e17.5 Placenta (ref)",-12
"DLX5","e17.5 Placenta (ref)",-12
"IGF2R","e17.5 Placenta (ref)",13.9329
"TRY4-new","e17.5 Placenta (ref)",-12
"TSPAN32","e17.5 Placenta (ref)",-12
"ZIM2","e17.5 Placenta (ref)",-12
"PEC3","Pancreatic Islets",-12
"UBE2NL","Pancreatic Islets",-12
"TRAPPC9","Pancreatic Islets",1.0531
"EIF2C2","Pancreatic Islets",1.2233
"MIR344D-3","Pancreatic Islets",-4.9514
"MIR344G","Pancreatic Islets",-0.69782
"A930009L07RIK","Pancreatic Islets",-12
"KCNK9","Pancreatic Islets",-12
"RASGRF1","Pancreatic Islets",13.1239
"INPP5F","Pancreatic Islets",-10
"NAP1L5","Pancreatic Islets",-10
"USP29","Pancreatic Islets",-6.0206
"HERC3-new","Pancreatic Islets",-1.0342
"GM9801-new","Pancreatic Islets",-12
"BEGAIN","Pancreatic Islets",-0.67372
"PX00010K13","Pancreatic Islets",-6.6227
"PEG13","Pancreatic Islets",-10
"1110006E14RIK","Pancreatic Islets",8.1278
"MBII-343","Pancreatic Islets",10
"MIRG","Pancreatic Islets",10
"ZDBF2","Pancreatic Islets",-10
"IMPACT","Pancreatic Islets",-10
"NDN","Pancreatic Islets",-6.6227
"NIBP","Pancreatic Islets",-2.6283
"AK139287","Pancreatic Islets",-12
"CCDC40-AS","Pancreatic Islets",-11
"PX00113D24","Pancreatic Islets",-7.5257
"PEC2","Pancreatic Islets",-12
"ZIM3","Pancreatic Islets",-1.5051
"AK142849","Pancreatic Islets",-12
"MKRN3","Pancreatic Islets",-12
"IPW","Pancreatic Islets",-12
"B830012L14RIK","Pancreatic Islets",0.30103
"ADAM23","Pancreatic Islets",-11
"COMMD1","Pancreatic Islets",13.6735
"UBE3A","Pancreatic Islets",12.0944
"WARS","Pancreatic Islets",1.8603
"BCL2L1","Pancreatic Islets",13.7633
"BLCAP","Pancreatic Islets",0.4391
"CALCR","Pancreatic Islets",-12
"MAGEL2","Pancreatic Islets",-12
"CDH15","Pancreatic Islets",-12
"COPG2","Pancreatic Islets",12.8653
"U80893","Pancreatic Islets",-12
"NR_015479-new","Pancreatic Islets",0.67372
"GRB10","Pancreatic Islets",7.2247
"PEG10","Pancreatic Islets",-12
"SGCE","Pancreatic Islets",-8.2807
"PEG1","Pancreatic Islets",-2.93
"MCTS2","Pancreatic Islets",-0.46376
"H13","Pancreatic Islets",1.0151
"SNRPN","Pancreatic Islets",-10
"ZRSR1","Pancreatic Islets",-10
"MEG3","Pancreatic Islets",10
"RIAN","Pancreatic Islets",10
"PEG3","Pancreatic Islets",-10
"PLAGL1","Pancreatic Islets",-9.3319
"1110014L15RIK-new","Pancreatic Islets",10
"ASB4","Pancreatic Islets",-11
"ZIM1","Pancreatic Islets",10
"KLHDC10","Pancreatic Islets",0.55824
"DLK1","Pancreatic Islets",-0.60206
"GNAS","Pancreatic Islets",15.3747
"PPP1R9A","Pancreatic Islets",-0.34948
"PDE4D","Pancreatic Islets",-0.46992
"A19","Pancreatic Islets",-0.30103
"ZFP264","Pancreatic Islets",-12
"KCNQ1OT1","Pancreatic Islets",-10
"AK050713","Pancreatic Islets",-12
"RTL1","Pancreatic Islets",-12
"CDKN1C","Pancreatic Islets",0.60206
"PEG12","Pancreatic Islets",-12
"KCNQ1","Pancreatic Islets",0.61363
"NESPAS","Pancreatic Islets",-12
"SLC38A4","Pancreatic Islets",14.5285
"H19","Pancreatic Islets",-12
"IGF2","Pancreatic Islets",-0.94584
"INS1","Pancreatic Islets",16
"TFPI2","Pancreatic Islets",11.5351
"AK043599","Pancreatic Islets",-12
"EDN3-new","Pancreatic Islets",-11
"TMEM106A-new","Pancreatic Islets",0.84424
"DDC","Pancreatic Islets",-0.75845
"RDM1","Pancreatic Islets",12.481
"TNK1-new","Pancreatic Islets",12.6913
"TREM1-new","Pancreatic Islets",-12
"2400006E01RIK-new","Pancreatic Islets",-11
"IGF2AS","Pancreatic Islets",-12
"UC008IHS.1-new","Pancreatic Islets",-11
"5133400J02RIK-new","Pancreatic Islets",-12
"PHLDA2","Pancreatic Islets",-12
"AF357359","Pancreatic Islets",0.30103
"GAB1","Pancreatic Islets",11.4543
"SFMBT2","Pancreatic Islets",-11
"CD81","Pancreatic Islets",-0.32706
"PHF17","Pancreatic Islets",12.5938
"TSSC4","Pancreatic Islets",14.8329
"DACT2-new","Pancreatic Islets",13.1659
"SLC22A2","Pancreatic Islets",-11
"TSSC5","Pancreatic Islets",1.1443
"SLC22A3","Pancreatic Islets",-11
"KLF14","Pancreatic Islets",-12
"ATP10A","Pancreatic Islets",-11
"DCN","Pancreatic Islets",13.9409
"PON2","Pancreatic Islets",12.5292
"PON3","Pancreatic Islets",11.5235
"AMPD3","Pancreatic Islets",-11
"GABRB3","Pancreatic Islets",0.95556
"GATM","Pancreatic Islets",13.9115
"TBC1D12","Pancreatic Islets",11.1514
"DIO3","Pancreatic Islets",-12
"NAP1L4","Pancreatic Islets",13.8969
"MSUIT","Pancreatic Islets",-12
"ASCL2","Pancreatic Islets",-12
"OSBPL5","Pancreatic Islets",12.1757
"TNFRSF23","Pancreatic Islets",11.5125
"AIRN","Pancreatic Islets",-2.4082
"HTR2A","Pancreatic Islets",-12
"MAPT","Pancreatic Islets",12.9538
"MKRN1-PS1","Pancreatic Islets",-11
"DLX5","Pancreatic Islets",-12
"IGF2R","Pancreatic Islets",10
"TRY4-new","Pancreatic Islets",0.38825
"TSPAN32","Pancreatic Islets",-0.12494
"ZIM2","Pancreatic Islets",-12
"PEC3","MEFs (ref)",-12
"UBE2NL","MEFs (ref)",-12
"TRAPPC9","MEFs (ref)",-12
"EIF2C2","MEFs (ref)",13.5886
"MIR344D-3","MEFs (ref)",-12
"MIR344G","MEFs (ref)",-12
"A930009L07RIK","MEFs (ref)",-12
"KCNK9","MEFs (ref)",-12
"RASGRF1","MEFs (ref)",-12
"INPP5F","MEFs (ref)",14.4902
"NAP1L5","MEFs (ref)",-12
"USP29","MEFs (ref)",-12
"HERC3-new","MEFs (ref)",12.6959
"GM9801-new","MEFs (ref)",-12
"BEGAIN","MEFs (ref)",-12
"PX00010K13","MEFs (ref)",-10
"PEG13","MEFs (ref)",-3.9
"1110006E14RIK","MEFs (ref)",-12
"MBII-343","MEFs (ref)",-12
"MIRG","MEFs (ref)",10
"ZDBF2","MEFs (ref)",-9.5
"IMPACT","MEFs (ref)",-10
"NDN","MEFs (ref)",-10
"NIBP","MEFs (ref)",-2.6
"AK139287","MEFs (ref)",-12
"CCDC40-AS","MEFs (ref)",-12
"PX00113D24","MEFs (ref)",-2.1
"PEC2","MEFs (ref)",-12
"ZIM3","MEFs (ref)",-12
"AK142849","MEFs (ref)",0.9
"MKRN3","MEFs (ref)",-12
"IPW","MEFs (ref)",-12
"B830012L14RIK","MEFs (ref)",-12
"ADAM23","MEFs (ref)",13.0864
"COMMD1","MEFs (ref)",0.59
"UBE3A","MEFs (ref)",1.02
"WARS","MEFs (ref)",-12
"BCL2L1","MEFs (ref)",14.6533
"BLCAP","MEFs (ref)",15.3495
"CALCR","MEFs (ref)",-12
"MAGEL2","MEFs (ref)",-12
"CDH15","MEFs (ref)",-12
"COPG2","MEFs (ref)",-12
"U80893","MEFs (ref)",-12
"NR_015479-new","MEFs (ref)",12.9324
"GRB10","MEFs (ref)",-12
"PEG10","MEFs (ref)",-10
"SGCE","MEFs (ref)",-10
"PEG1","MEFs (ref)",-12
"MCTS2","MEFs (ref)",-12
"H13","MEFs (ref)",-12
"SNRPN","MEFs (ref)",-10
"ZRSR1","MEFs (ref)",-12
"MEG3","MEFs (ref)",10
"RIAN","MEFs (ref)",10
"PEG3","MEFs (ref)",-10
"PLAGL1","MEFs (ref)",-10
"1110014L15RIK-new","MEFs (ref)",1.5
"ASB4","MEFs (ref)",5.63
"ZIM1","MEFs (ref)",-12
"KLHDC10","MEFs (ref)",-12
"DLK1","MEFs (ref)",-1.7
"GNAS","MEFs (ref)",-1.5
"PPP1R9A","MEFs (ref)",-12
"PDE4D","MEFs (ref)",12.6569
"A19","MEFs (ref)",-12
"ZFP264","MEFs (ref)",-12
"KCNQ1OT1","MEFs (ref)",-12
"AK050713","MEFs (ref)",10
"RTL1","MEFs (ref)",10
"CDKN1C","MEFs (ref)",10
"PEG12","MEFs (ref)",-10
"KCNQ1","MEFs (ref)",-10
"NESPAS","MEFs (ref)",-4.8
"SLC38A4","MEFs (ref)",-10
"H19","MEFs (ref)",-12
"IGF2","MEFs (ref)",-12
"INS1","MEFs (ref)",-12
"TFPI2","MEFs (ref)",-12
"AK043599","MEFs (ref)",-12
"EDN3-new","MEFs (ref)",-12
"TMEM106A-new","MEFs (ref)",-12
"DDC","MEFs (ref)",-0.4
"RDM1","MEFs (ref)",11.8889
"TNK1-new","MEFs (ref)",-12
"TREM1-new","MEFs (ref)",-12
"2400006E01RIK-new","MEFs (ref)",-12
"IGF2AS","MEFs (ref)",-12
"UC008IHS.1-new","MEFs (ref)",-12
"5133400J02RIK-new","MEFs (ref)",-12
"PHLDA2","MEFs (ref)",-12
"AF357359","MEFs (ref)",-12
"GAB1","MEFs (ref)",12.8352
"SFMBT2","MEFs (ref)",11.1709
"CD81","MEFs (ref)",-12
"PHF17","MEFs (ref)",11.9248
"TSSC4","MEFs (ref)",-12
"DACT2-new","MEFs (ref)",-12
"SLC22A2","MEFs (ref)",-12
"TSSC5","MEFs (ref)",-12
"SLC22A3","MEFs (ref)",-12
"KLF14","MEFs (ref)",-12
"ATP10A","MEFs (ref)",11.3703
"DCN","MEFs (ref)",0.35
"PON2","MEFs (ref)",12.0933
"PON3","MEFs (ref)",-12
"AMPD3","MEFs (ref)",12.2872
"GABRB3","MEFs (ref)",-12
"GATM","MEFs (ref)",-12
"TBC1D12","MEFs (ref)",11.999
"DIO3","MEFs (ref)",-12
"NAP1L4","MEFs (ref)",14.981
"MSUIT","MEFs (ref)",-12
"ASCL2","MEFs (ref)",-12
"OSBPL5","MEFs (ref)",13.1345
"TNFRSF23","MEFs (ref)",-12
"AIRN","MEFs (ref)",-12
"HTR2A","MEFs (ref)",11.3106
"MAPT","MEFs (ref)",-12
"MKRN1-PS1","MEFs (ref)",-12
"DLX5","MEFs (ref)",-12
"IGF2R","MEFs (ref)",10
"TRY4-new","MEFs (ref)",-12
"TSPAN32","MEFs (ref)",-12
"ZIM2","MEFs (ref)",-12
"PEC3","Bladder",-12
"UBE2NL","Bladder",-12
"TRAPPC9","Bladder",-12
"EIF2C2","Bladder",-11
"MIR344D-3","Bladder",-0.60206
"MIR344G","Bladder",-0.90309
"A930009L07RIK","Bladder",-12
"KCNK9","Bladder",-12
"RASGRF1","Bladder",-12
"INPP5F","Bladder",12.617
"NAP1L5","Bladder",-12
"USP29","Bladder",-12
"HERC3-new","Bladder",0.26869
"GM9801-new","Bladder",-12
"BEGAIN","Bladder",-12
"PX00010K13","Bladder",-12
"PEG13","Bladder",-12
"1110006E14RIK","Bladder",7.2247
"MBII-343","Bladder",8.4288
"MIRG","Bladder",10
"ZDBF2","Bladder",-2.7093
"IMPACT","Bladder",-10
"NDN","Bladder",-6.3625
"NIBP","Bladder",-10
"AK139287","Bladder",-12
"CCDC40-AS","Bladder",-12
"PX00113D24","Bladder",-12
"PEC2","Bladder",-12
"ZIM3","Bladder",-12
"AK142849","Bladder",-12
"MKRN3","Bladder",-12
"IPW","Bladder",-12
"B830012L14RIK","Bladder",2.7093
"ADAM23","Bladder",12.0952
"COMMD1","Bladder",-0.16273
"UBE3A","Bladder",0.43143
"WARS","Bladder",0.36056
"BCL2L1","Bladder",13.3626
"BLCAP","Bladder",12.0965
"CALCR","Bladder",-12
"MAGEL2","Bladder",-12
"CDH15","Bladder",-12
"COPG2","Bladder",13.5648
"U80893","Bladder",-12
"NR_015479-new","Bladder",-12
"GRB10","Bladder",10
"PEG10","Bladder",-10
"SGCE","Bladder",-10
"PEG1","Bladder",-4.5154
"MCTS2","Bladder",-4.8165
"H13","Bladder",1.0005
"SNRPN","Bladder",-10
"ZRSR1","Bladder",-10
"MEG3","Bladder",10
"RIAN","Bladder",10
"PEG3","Bladder",-8.7299
"PLAGL1","Bladder",-10
"1110014L15RIK-new","Bladder",1.8062
"ASB4","Bladder",1.0342
"ZIM1","Bladder",-12
"KLHDC10","Bladder",0.40253
"DLK1","Bladder",-7.2247
"GNAS","Bladder",15.645
"PPP1R9A","Bladder",12.138
"PDE4D","Bladder",12.5906
"A19","Bladder",-12
"ZFP264","Bladder",-12
"KCNQ1OT1","Bladder",-10
"AK050713","Bladder",0.30103
"RTL1","Bladder",-11
"CDKN1C","Bladder",-12
"PEG12","Bladder",-12
"KCNQ1","Bladder",-11
"NESPAS","Bladder",-12
"SLC38A4","Bladder",-2.1072
"H19","Bladder",1.5051
"IGF2","Bladder",-0.50515
"INS1","Bladder",-12
"TFPI2","Bladder",-11
"AK043599","Bladder",-12
"EDN3-new","Bladder",0.43976
"TMEM106A-new","Bladder",2.2841
"DDC","Bladder",11.5498
"RDM1","Bladder",13.6757
"TNK1-new","Bladder",0.34315
"TREM1-new","Bladder",-12
"2400006E01RIK-new","Bladder",-12
"IGF2AS","Bladder",-12
"UC008IHS.1-new","Bladder",-12
"5133400J02RIK-new","Bladder",-12
"PHLDA2","Bladder",12.1622
"AF357359","Bladder",-12
"GAB1","Bladder",-0.68814
"SFMBT2","Bladder",-0.51767
"CD81","Bladder",16
"PHF17","Bladder",12.7819
"TSSC4","Bladder",0.93692
"DACT2-new","Bladder",0.60206
"SLC22A2","Bladder",-12
"TSSC5","Bladder",1.1483
"SLC22A3","Bladder",-11
"KLF14","Bladder",-12
"ATP10A","Bladder",0.32732
"DCN","Bladder",16
"PON2","Bladder",13.7718
"PON3","Bladder",12.9864
"AMPD3","Bladder",11.9832
"GABRB3","Bladder",-11
"GATM","Bladder",11.7032
"TBC1D12","Bladder",11.7077
"DIO3","Bladder",-12
"NAP1L4","Bladder",14.1404
"MSUIT","Bladder",-12
"ASCL2","Bladder",-12
"OSBPL5","Bladder",13.0509
"TNFRSF23","Bladder",-11
"AIRN","Bladder",-10
"HTR2A","Bladder",-12
"MAPT","Bladder",0.40906
"MKRN1-PS1","Bladder",-12
"DLX5","Bladder",-12
"IGF2R","Bladder",10
"TRY4-new","Bladder",-12
"TSPAN32","Bladder",-0.12494
"ZIM2","Bladder",-12
"PEC3","Lung",0
"UBE2NL","Lung",-12
"TRAPPC9","Lung",1.7549
"EIF2C2","Lung",11.8263
"MIR344D-3","Lung",-0.30103
"MIR344G","Lung",-0.90309
"A930009L07RIK","Lung",-12
"KCNK9","Lung",-12
"RASGRF1","Lung",-11
"INPP5F","Lung",-0.81648
"NAP1L5","Lung",-1.5051
"USP29","Lung",-12
"HERC3-new","Lung",11.0879
"GM9801-new","Lung",-12
"BEGAIN","Lung",-11
"PX00010K13","Lung",-10
"PEG13","Lung",-10
"1110006E14RIK","Lung",1.9689
"MBII-343","Lung",0.60206
"MIRG","Lung",1.5051
"ZDBF2","Lung",-12
"IMPACT","Lung",-10
"NDN","Lung",-10
"NIBP","Lung",-10
"AK139287","Lung",-11
"CCDC40-AS","Lung",11.6449
"PX00113D24","Lung",-0.30103
"PEC2","Lung",-12
"ZIM3","Lung",-12
"AK142849","Lung",0.30103
"MKRN3","Lung",-0.90309
"IPW","Lung",-12
"B830012L14RIK","Lung",0.50515
"ADAM23","Lung",-2.7514
"COMMD1","Lung",0.65554
"UBE3A","Lung",-0.4109
"WARS","Lung",13.8697
"BCL2L1","Lung",15.1017
"BLCAP","Lung",13.5193
"CALCR","Lung",-11
"MAGEL2","Lung",-12
"CDH15","Lung",-11
"COPG2","Lung",12.8593
"U80893","Lung",-12
"NR_015479-new","Lung",11.5697
"GRB10","Lung",10
"PEG10","Lung",-3.6124
"SGCE","Lung",-10
"PEG1","Lung",-3.7995
"MCTS2","Lung",-2.6798
"H13","Lung",10
"SNRPN","Lung",-10
"ZRSR1","Lung",-10
"MEG3","Lung",10
"RIAN","Lung",9.633
"PEG3","Lung",-10
"PLAGL1","Lung",-10
"1110014L15RIK-new","Lung",-11
"ASB4","Lung",-11
"ZIM1","Lung",-12
"KLHDC10","Lung",12.3888
"DLK1","Lung",-0.12494
"GNAS","Lung",0.69211
"PPP1R9A","Lung",12.2202
"PDE4D","Lung",11.5042
"A19","Lung",-12
"ZFP264","Lung",-12
"KCNQ1OT1","Lung",-10
"AK050713","Lung",-12
"RTL1","Lung",-11
"CDKN1C","Lung",2.93
"PEG12","Lung",-3.3113
"KCNQ1","Lung",12.4204
"NESPAS","Lung",-12
"SLC38A4","Lung",11.3254
"H19","Lung",4.1797
"IGF2","Lung",-8.2905
"INS1","Lung",-12
"TFPI2","Lung",-0.46376
"AK043599","Lung",-12
"EDN3-new","Lung",13.162
"TMEM106A-new","Lung",12.0329
"DDC","Lung",11.1427
"RDM1","Lung",13.7092
"TNK1-new","Lung",12.8466
"TREM1-new","Lung",-0.61363
"2400006E01RIK-new","Lung",-12
"IGF2AS","Lung",-12
"UC008IHS.1-new","Lung",-12
"5133400J02RIK-new","Lung",-12
"PHLDA2","Lung",11.0461
"AF357359","Lung",-12
"GAB1","Lung",0.31448
"SFMBT2","Lung",0.40311
"CD81","Lung",15.9749
"PHF17","Lung",11.7981
"TSSC4","Lung",13.2996
"DACT2-new","Lung",-0.43917
"SLC22A2","Lung",-12
"TSSC5","Lung",1.1443
"SLC22A3","Lung",11.3504
"KLF14","Lung",-12
"ATP10A","Lung",11.4204
"DCN","Lung",14.2606
"PON2","Lung",13.752
"PON3","Lung",13.1364
"AMPD3","Lung",0.32136
"GABRB3","Lung",0.30103
"GATM","Lung",11.3309
"TBC1D12","Lung",11.0527
"DIO3","Lung",-0.12494
"NAP1L4","Lung",14.3396
"MSUIT","Lung",-0.12494
"ASCL2","Lung",-12
"OSBPL5","Lung",13.397
"TNFRSF23","Lung",-11
"AIRN","Lung",-3.0103
"HTR2A","Lung",-12
"MAPT","Lung",14.388
"MKRN1-PS1","Lung",-0.30103
"DLX5","Lung",-12
"IGF2R","Lung",10
"TRY4-new","Lung",-12
"TSPAN32","Lung",11.6363
"ZIM2","Lung",-12
"PEC3","Duodenum",-12
"UBE2NL","Duodenum",-12
"TRAPPC9","Duodenum",0.56672
"EIF2C2","Duodenum",0.30103
"MIR344D-3","Duodenum",-0.30103
"MIR344G","Duodenum",-0.90309
"A930009L07RIK","Duodenum",-12
"KCNK9","Duodenum",-12
"RASGRF1","Duodenum",-12
"INPP5F","Duodenum",12.6183
"NAP1L5","Duodenum",-3.9134
"USP29","Duodenum",-0.90309
"HERC3-new","Duodenum",0.79286
"GM9801-new","Duodenum",-12
"BEGAIN","Duodenum",-11
"PX00010K13","Duodenum",-7.5257
"PEG13","Duodenum",-10
"1110006E14RIK","Duodenum",0.30103
"MBII-343","Duodenum",5.4185
"MIRG","Duodenum",3.6124
"ZDBF2","Duodenum",-1.2041
"IMPACT","Duodenum",-10
"NDN","Duodenum",-7.5257
"NIBP","Duodenum",-10
"AK139287","Duodenum",-12
"CCDC40-AS","Duodenum",-12
"PX00113D24","Duodenum",-4.5154
"PEC2","Duodenum",-12
"ZIM3","Duodenum",-12
"AK142849","Duodenum",-12
"MKRN3","Duodenum",-12
"IPW","Duodenum",-12
"B830012L14RIK","Duodenum",-12
"ADAM23","Duodenum",-0.24973
"COMMD1","Duodenum",0.16273
"UBE3A","Duodenum",12.3819
"WARS","Duodenum",13.9683
"BCL2L1","Duodenum",-1.016
"BLCAP","Duodenum",13.6817
"CALCR","Duodenum",-12
"MAGEL2","Duodenum",-12
"CDH15","Duodenum",-12
"COPG2","Duodenum",0.34803
"U80893","Duodenum",-12
"NR_015479-new","Duodenum",0.43976
"GRB10","Duodenum",4.1398
"PEG10","Duodenum",-1.2041
"SGCE","Duodenum",-10
"PEG1","Duodenum",-0.47911
"MCTS2","Duodenum",-1.9689
"H13","Duodenum",1.7659
"SNRPN","Duodenum",-10
"ZRSR1","Duodenum",-9.633
"MEG3","Duodenum",10
"RIAN","Duodenum",10
"PEG3","Duodenum",-10
"PLAGL1","Duodenum",-10
"1110014L15RIK-new","Duodenum",-12
"ASB4","Duodenum",8.8475
"ZIM1","Duodenum",-12
"KLHDC10","Duodenum",13.1362
"DLK1","Duodenum",-0.30103
"GNAS","Duodenum",1.6634
"PPP1R9A","Duodenum",0.90471
"PDE4D","Duodenum",11.9967
"A19","Duodenum",-12
"ZFP264","Duodenum",-12
"KCNQ1OT1","Duodenum",-6.0382
"AK050713","Duodenum",-12
"RTL1","Duodenum",-12
"CDKN1C","Duodenum",1.6105
"PEG12","Duodenum",-0.30103
"KCNQ1","Duodenum",13.582
"NESPAS","Duodenum",-12
"SLC38A4","Duodenum",-1.8313
"H19","Duodenum",6.6227
"IGF2","Duodenum",-1.8062
"INS1","Duodenum",-12
"TFPI2","Duodenum",-11
"AK043599","Duodenum",-12
"EDN3-new","Duodenum",2.0132
"TMEM106A-new","Duodenum",4.0622
"DDC","Duodenum",14.6961
"RDM1","Duodenum",13.6553
"TNK1-new","Duodenum",0.27699
"TREM1-new","Duodenum",0.12494
"2400006E01RIK-new","Duodenum",-12
"IGF2AS","Duodenum",-12
"UC008IHS.1-new","Duodenum",-12
"5133400J02RIK-new","Duodenum",-12
"PHLDA2","Duodenum",11.3349
"AF357359","Duodenum",-12
"GAB1","Duodenum",12.4955
"SFMBT2","Duodenum",-0.64481
"CD81","Duodenum",15.9517
"PHF17","Duodenum",-0.56494
"TSSC4","Duodenum",14.022
"DACT2-new","Duodenum",11.7456
"SLC22A2","Duodenum",-12
"TSSC5","Duodenum",0.32028
"SLC22A3","Duodenum",-11
"KLF14","Duodenum",-12
"ATP10A","Duodenum",-0.34803
"DCN","Duodenum",-12
"PON2","Duodenum",14.8037
"PON3","Duodenum",12.4939
"AMPD3","Duodenum",12.861
"GABRB3","Duodenum",-0.59189
"GATM","Duodenum",11.8943
"TBC1D12","Duodenum",-0.30103
"DIO3","Duodenum",-12
"NAP1L4","Duodenum",-0.40575
"MSUIT","Duodenum",-12
"ASCL2","Duodenum",12.144
"OSBPL5","Duodenum",13.0447
"TNFRSF23","Duodenum",12.031
"AIRN","Duodenum",-4.2144
"HTR2A","Duodenum",0.30103
"MAPT","Duodenum",0.38608
"MKRN1-PS1","Duodenum",-11
"DLX5","Duodenum",-12
"IGF2R","Duodenum",10
"TRY4-new","Duodenum",-12
"TSPAN32","Duodenum",0.30103
"ZIM2","Duodenum",-12
"PEC3","White Adipose",-12
"UBE2NL","White Adipose",-12
"TRAPPC9","White Adipose",-12
"EIF2C2","White Adipose",0.30103
"MIR344D-3","White Adipose",-12
"MIR344G","White Adipose",-12
"A930009L07RIK","White Adipose",-12
"KCNK9","White Adipose",-12
"RASGRF1","White Adipose",-12
"INPP5F","White Adipose",12.2232
"NAP1L5","White Adipose",-12
"USP29","White Adipose",-12
"HERC3-new","White Adipose",12.4392
"GM9801-new","White Adipose",-12
"BEGAIN","White Adipose",-0.12494
"PX00010K13","White Adipose",-12
"PEG13","White Adipose",-12
"1110006E14RIK","White Adipose",3.0103
"MBII-343","White Adipose",3.0103
"MIRG","White Adipose",1.2041
"ZDBF2","White Adipose",-0.30103
"IMPACT","White Adipose",-10
"NDN","White Adipose",-10
"NIBP","White Adipose",-3.6987
"AK139287","White Adipose",-12
"CCDC40-AS","White Adipose",-12
"PX00113D24","White Adipose",-12
"PEC2","White Adipose",-12
"ZIM3","White Adipose",-12
"AK142849","White Adipose",-12
"MKRN3","White Adipose",-12
"IPW","White Adipose",-12
"B830012L14RIK","White Adipose",0.60206
"ADAM23","White Adipose",12.0025
"COMMD1","White Adipose",-0.20548
"UBE3A","White Adipose",13.3317
"WARS","White Adipose",13.2684
"BCL2L1","White Adipose",0.37416
"BLCAP","White Adipose",2.8405
"CALCR","White Adipose",-12
"MAGEL2","White Adipose",-12
"CDH15","White Adipose",-12
"COPG2","White Adipose",1.6567
"U80893","White Adipose",-12
"NR_015479-new","White Adipose",-12
"GRB10","White Adipose",10
"PEG10","White Adipose",-10
"SGCE","White Adipose",-10
"PEG1","White Adipose",-10
"MCTS2","White Adipose",-10
